fullName,ugr,department,year,gender,email,sponsorship
Mohammed Abera,UGR/0039/15,Medicine,3,Male,mohammed.abera-ug@aau.edu.et,Government
Genet Tesfaye,UGR/0040/15,Software Engineering,4,Female,genet.tesfaye-ug@aau.edu.et,Government
Ayalew Abiy,UGR/0041/15,Electrical Engineering,4,Male,ayalew.abiy-ug@aau.edu.et,Government
Afewerki Ali,UGR/0042/15,Business Administration,4,Male,afewerki.ali-ug@aau.edu.et,Self-Sponsored
Aisha Adamu,UGR/0043/15,Software Engineering,5,Female,aisha.adamu2-ug@aau.edu.et,Government
Bekele Asfaw,UGR/0044/15,Software Engineering,2,Male,bekele.asfaw-ug@aau.edu.et,Government
Biniam Ali,UGR/0045/15,Civil Engineering,1,Male,biniam.ali-ug@aau.edu.et,Government
Aisha Getachew,UGR/0046/15,Information Systems,5,Female,aisha.getachew-ug@aau.edu.et,Government
Getachew Asfaw,UGR/0047/15,Civil Engineering,5,Male,getachew.asfaw-ug@aau.edu.et,Self-Sponsored
Fantu Abebe,UGR/0048/15,Medicine,2,Female,fantu.abebe-ug@aau.edu.et,Government
Mohammed Getachew,UGR/0049/15,Information Systems,4,Male,mohammed.getachew-ug@aau.edu.et,Government
Fantu Abebe,UGR/0050/15,Medicine,1,Female,fantu.abebe-ug@aau.edu.et,Government
Getachew Asfaw,UGR/0051/15,Medicine,2,Male,getachew.asfaw-ug@aau.edu.et,Government
Kassa Adamu,UGR/0052/15,Electrical Engineering,1,Male,kassa.adamu-ug@aau.edu.et,Self-Sponsored
Kassa Tesfaye,UGR/0053/15,Law,3,Male,kassa.tesfaye-ug@aau.edu.et,Government
Biniam Abera,UGR/0054/15,Business Administration,1,Male,biniam.abera-ug@aau.edu.et,Government
Mohammed Getachew,UGR/0055/15,Civil Engineering,5,Male,mohammed.getachew-ug@aau.edu.et,Government
Hagos Adamu,UGR/0056/15,Software Engineering,3,Male,hagos.adamu-ug@aau.edu.et,Government
Desta Adamu,UGR/0057/15,Law,1,Female,desta.adamu-ug@aau.edu.et,Self-Sponsored
Abiy Tesfaye,UGR/0058/15,Civil Engineering,2,Male,abiy.tesfaye-ug@aau.edu.et,Government
Aisha Tesfaye,UGR/0059/15,Electrical Engineering,1,Female,aisha.tesfaye-ug@aau.edu.et,Government
Aster Adamu,UGR/0060/15,Business Administration,5,Female,aster.adamu-ug@aau.edu.et,Government
Bekele Asfaw,UGR/0061/15,Software Engineering,3,Male,bekele.asfaw-ug@aau.edu.et,Government
Eebbisan Abera,UGR/0062/15,Medicine,1,Female,eebbisan.abera-ug@aau.edu.et,Self-Sponsored
Abiy Mohammed,UGR/0063/15,Electrical Engineering,1,Male,abiy.mohammed-ug@aau.edu.et,Government
Aster Getachew,UGR/0064/15,Computer Science,3,Female,aster.getachew-ug@aau.edu.et,Government
Aster Asfaw,UGR/0065/15,Business Administration,2,Female,aster.asfaw-ug@aau.edu.et,Government
Selamawit Tesfaye,UGR/0066/15,Medicine,5,Female,selamawit.tesfaye-ug@aau.edu.et,Government
Fantu Tesfaye,UGR/0067/15,Computer Science,5,Female,fantu.tesfaye-ug@aau.edu.et,Self-Sponsored
Desta Abebe,UGR/0068/15,Business Administration,2,Female,desta.abebe-ug@aau.edu.et,Government
Getachew Mohammed,UGR/0069/15,Software Engineering,1,Male,getachew.mohammed-ug@aau.edu.et,Government
Elias Adamu,UGR/0070/15,Information Systems,3,Male,elias.adamu-ug@aau.edu.et,Government
Ayalew Abiy,UGR/0071/15,Medicine,2,Male,ayalew.abiy-ug@aau.edu.et,Government
Belaynesh Getachew,UGR/0072/15,Medicine,4,Female,belaynesh.getachew-ug@aau.edu.et,Self-Sponsored
Eebbisan Adamu,UGR/0073/15,Civil Engineering,4,Female,eebbisan.adamu-ug@aau.edu.et,Government
Abiy Asfaw,UGR/0074/15,Electrical Engineering,4,Male,abiy.asfaw-ug@aau.edu.et,Government
Abebech Mohammed,UGR/0075/15,Medicine,3,Female,abebech.mohammed-ug@aau.edu.et,Government
Mohammed Abiy,UGR/0076/15,Software Engineering,5,Male,mohammed.abiy-ug@aau.edu.et,Government
Elias Adamu,UGR/0077/15,Business Administration,4,Male,elias.adamu-ug@aau.edu.et,Self-Sponsored
Eebbisan Abera,UGR/0078/15,Information Systems,1,Female,eebbisan.abera-ug@aau.edu.et,Government
Isayas Ashenafi,UGR/0079/15,Electrical Engineering,3,Male,isayas.ashenafi-ug@aau.edu.et,Government
Hagos Getachew,UGR/0080/15,Information Systems,4,Male,hagos.getachew-ug@aau.edu.et,Government
Abiy Abiy,UGR/0081/15,Information Systems,1,Male,abiy.abiy-ug@aau.edu.et,Government
Belaynesh Adamu,UGR/0082/15,Business Administration,5,Female,belaynesh.adamu-ug@aau.edu.et,Self-Sponsored
Galaan Mohammed,UGR/0083/15,Software Engineering,1,Male,galaan.mohammed-ug@aau.edu.et,Government
Ayalew Tesfaye,UGR/0084/15,Electrical Engineering,3,Male,ayalew.tesfaye-ug@aau.edu.et,Government
Kassahun Mohammed,UGR/0085/15,Medicine,3,Male,kassahun.mohammed-ug@aau.edu.et,Government
Hagos Tesfaye,UGR/0086/15,Information Systems,3,Male,hagos.tesfaye-ug@aau.edu.et,Government
Tadesse Tesfaye,UGR/0087/15,Law,5,Male,tadesse.tesfaye-ug@aau.edu.et,Self-Sponsored
Isayas Ashenafi,UGR/0088/15,Business Administration,5,Male,isayas.ashenafi-ug@aau.edu.et,Government
Selamawit Asfaw,UGR/0089/15,Business Administration,3,Female,selamawit.asfaw-ug@aau.edu.et,Government
Belaynesh Getachew,UGR/0090/15,Electrical 
Engineering,5,Female,belaynesh.getachew-ug@aau.edu.et,Government
Abiy Ashenafi,UGR/0091/15,Business Administration,4,Male,abiy.ashenafi-ug@aau.edu.et,Government
Bekele Getachew,UGR/0092/15,Software Engineering,1,Male,bekele.getachew-ug@aau.edu.et,Self-Sponsored
Ayalew Ali,UGR/0093/15,Electrical Engineering,4,Male,ayalew.ali-ug@aau.edu.et,Government
Hagos Abebe,UGR/0094/15,Civil Engineering,5,Male,hagos.abebe-ug@aau.edu.et,Government
Elias Abiy,UGR/0095/15,Law,1,Male,elias.abiy-ug@aau.edu.et,Government
Kassahun Abdi,UGR/0096/15,Business Administration,4,Male,kassahun.abdi-ug@aau.edu.et,Government
Elias Adamu,UGR/0097/15,Business Administration,1,Male,elias.adamu-ug@aau.edu.et,Self-Sponsored
Ayalew Abera,UGR/0098/15,Medicine,3,Male,ayalew.abera-ug@aau.edu.et,Government
Belaynesh Asfaw,UGR/0099/15,Information Systems,3,Female,belaynesh.asfaw-ug@aau.edu.et,Government
Isayas Abiy,UGR/0100/15,Computer Science,1,Male,isayas.abiy-ug@aau.edu.et,Government
Getachew Tesfaye,UGR/0101/15,Law,3,Male,getachew.tesfaye-ug@aau.edu.et,Government
Biniam Abera,UGR/0102/15,Software Engineering,5,Male,biniam.abera-ug@aau.edu.et,Self-Sponsored
Kassa Abdi,UGR/0103/15,Business Administration,2,Male,kassa.abdi-ug@aau.edu.et,Government
Hagos Ashenafi,UGR/0104/15,Law,4,Male,hagos.ashenafi-ug@aau.edu.et,Government
Abiy Asfaw,UGR/0105/15,Information Systems,1,Male,abiy.asfaw-ug@aau.edu.et,Government
Kebede Abera,UGR/0106/15,Medicine,1,Male,kebede.abera-ug@aau.edu.et,Government
Belaynesh Abiy,UGR/0107/15,Computer Science,5,Female,belaynesh.abiy-ug@aau.edu.et,Self-Sponsored
Belaynesh Tesfaye,UGR/0108/15,Medicine,1,Female,belaynesh.tesfaye-ug@aau.edu.et,Government
Selamawit Adamu,UGR/0109/15,Software Engineering,3,Female,selamawit.adamu-ug@aau.edu.et,Government
Aster Asfaw,UGR/0110/15,Electrical Engineering,3,Female,aster.asfaw-ug@aau.edu.et,Government
Kassa Tesfaye,UGR/0111/15,Computer Science,3,Male,kassa.tesfaye-ug@aau.edu.et,Government
Fantu Adamu,UGR/0112/15,Law,3,Female,fantu.adamu-ug@aau.edu.et,Self-Sponsored
Kebede Ali,UGR/0113/15,Software Engineering,3,Male,kebede.ali-ug@aau.edu.et,Government
Tadesse Tesfaye,UGR/0114/15,Software Engineering,2,Male,tadesse.tesfaye-ug@aau.edu.et,Government
Kebede Adamu,UGR/0115/15,Law,5,Male,kebede.adamu-ug@aau.edu.et,Government
Fantu Getachew,UGR/0116/15,Law,5,Female,fantu.getachew-ug@aau.edu.et,Government
Genet Abdi,UGR/0117/15,Electrical Engineering,1,Female,genet.abdi-ug@aau.edu.et,Self-Sponsored
Atsede Abiy,UGR/0118/15,Medicine,4,Female,atsede.abiy-ug@aau.edu.et,Government
Desta Adamu,UGR/0119/15,Information Systems,5,Female,desta.adamu-ug@aau.edu.et,Government
Belaynesh Abera,UGR/0120/15,Civil Engineering,1,Female,belaynesh.abera-ug@aau.edu.et,Government
Getachew Tesfaye,UGR/0121/15,Business Administration,2,Male,getachew.tesfaye-ug@aau.edu.et,Government
Aisha Abiy,UGR/0122/15,Business Administration,5,Female,aisha.abiy-ug@aau.edu.et,Self-Sponsored
Galaan Abdi,UGR/0123/15,Law,4,Male,galaan.abdi-ug@aau.edu.et,Government
Getachew Asfaw,UGR/0124/15,Medicine,2,Male,getachew.asfaw-ug@aau.edu.et,Government
Tadesse Mohammed,UGR/0125/15,Software Engineering,2,Male,tadesse.mohammed-ug@aau.edu.et,Government
Bekele Abera,UGR/0126/15,Software Engineering,3,Male,bekele.abera-ug@aau.edu.et,Government
Dawit Asfaw,UGR/0127/15,Information Systems,4,Male,dawit.asfaw-ug@aau.edu.et,Self-Sponsored
Tadesse Abdi,UGR/0128/15,Electrical Engineering,1,Male,tadesse.abdi-ug@aau.edu.et,Government
Abiy Abiy,UGR/0129/15,Civil Engineering,4,Male,abiy.abiy-ug@aau.edu.et,Government
Kassahun Ali,UGR/0130/15,Software Engineering,3,Male,kassahun.ali-ug@aau.edu.et,Government
Hagos Abdi,UGR/0131/15,Computer Science,5,Male,hagos.abdi-ug@aau.edu.et,Government
Aisha Asfaw,UGR/0132/15,Business Administration,4,Female,aisha.asfaw-ug@aau.edu.et,Self-Sponsored
Hagos Abiy,UGR/0133/15,Electrical Engineering,5,Male,hagos.abiy-ug@aau.edu.et,Government
Desta Mohammed,UGR/0134/15,Information Systems,2,Female,desta.mohammed-ug@aau.edu.et,Government
Afewerki Asfaw,UGR/0135/15,Electrical Engineering,1,Male,afewerki.asfaw-ug@aau.edu.et,Government
Fantu Abdi,UGR/0136/15,Business Administration,3,Female,fantu.abdi-ug@aau.edu.et,Government
Kassa Asfaw,UGR/0137/15,Information Systems,5,Male,kassa.asfaw-ug@aau.edu.et,Self-Sponsored
Fantu Mohammed,UGR/0138/15,Business Administration,4,Female,fantu.mohammed-ug@aau.edu.et,Government
Eebbisan Abera,UGR/0139/15,Information Systems,4,Female,eebbisan.abera-ug@aau.edu.et,Government
Aisha Getachew,UGR/0140/15,Business Administration,3,Female,aisha.getachew-ug@aau.edu.et,Government
Afewerki Ali,UGR/0141/15,Information Systems,4,Male,afewerki.ali-ug@aau.edu.et,Government
Tadesse Abera,UGR/0142/15,Electrical Engineering,1,Male,tadesse.abera-ug@aau.edu.et,Self-Sponsored
Abebech Adamu,UGR/0143/15,Law,5,Female,abebech.adamu-ug@aau.edu.et,Government
Afewerki Adamu,UGR/0144/15,Information Systems,1,Male,afewerki.adamu-ug@aau.edu.et,Government
Selamawit Abiy,UGR/0145/15,Civil Engineering,4,Female,selamawit.abiy-ug@aau.edu.et,Government
Eebbisan Asfaw,UGR/0146/15,Medicine,1,Female,eebbisan.asfaw-ug@aau.edu.et,Government
Kassa Asfaw,UGR/0147/15,Software Engineering,2,Male,kassa.asfaw-ug@aau.edu.et,Self-Sponsored
Desta Ali,UGR/0148/15,Computer Science,2,Female,desta.ali-ug@aau.edu.et,Government
Selamawit Getachew,UGR/0149/15,Computer Science,2,Female,selamawit.getachew-ug@aau.edu.et,Government
Fantu Abebe,UGR/0150/15,Medicine,4,Female,fantu.abebe-ug@aau.edu.et,Government
Fantu Getachew,UGR/0151/15,Information Systems,3,Female,fantu.getachew-ug@aau.edu.et,Government
Atsede Tesfaye,UGR/0152/15,Software Engineering,1,Female,atsede.tesfaye-ug@aau.edu.et,Self-Sponsored
Kassahun Asfaw,UGR/0153/15,Computer Science,2,Male,kassahun.asfaw-ug@aau.edu.et,Government
Hagos Abdi,UGR/0154/15,Medicine,1,Male,hagos.abdi-ug@aau.edu.et,Government
Genet Ali,UGR/0155/15,Computer Science,2,Female,genet.ali-ug@aau.edu.et,Government
Atsede Getachew,UGR/0156/15,Computer Science,5,Female,atsede.getachew-ug@aau.edu.et,Government
Mohammed Abiy,UGR/0157/15,Software Engineering,1,Male,mohammed.abiy-ug@aau.edu.et,Self-Sponsored
Alemu Getachew,UGR/0158/15,Software Engineering,3,Male,alemu.getachew-ug@aau.edu.et,Government
Dawit Adamu,UGR/0159/15,Law,1,Male,dawit.adamu-ug@aau.edu.et,Government
Eebbisan Mohammed,UGR/0160/15,Civil Engineering,1,Female,eebbisan.mohammed-ug@aau.edu.et,Government
Hagos Mohammed,UGR/0161/15,Electrical Engineering,5,Male,hagos.mohammed-ug@aau.edu.et,Government
Ebo Adamu,UGR/0162/15,Electrical Engineering,1,Male,ebo.adamu-ug@aau.edu.et,Self-Sponsored
Fantu Asfaw,UGR/0163/15,Medicine,5,Female,fantu.asfaw-ug@aau.edu.et,Government
Belaynesh Abera,UGR/0164/15,Electrical Engineering,2,Female,belaynesh.abera-ug@aau.edu.et,Government
Abebech Abdi,UGR/0165/15,Law,2,Female,abebech.abdi-ug@aau.edu.et,Government
Genet Getachew,UGR/0166/15,Software Engineering,5,Female,genet.getachew-ug@aau.edu.et,Government
Selamawit Adamu,UGR/0167/15,Civil Engineering,5,Female,selamawit.adamu-ug@aau.edu.et,Self-Sponsored
Abiy Getachew,UGR/0168/15,Electrical Engineering,5,Male,abiy.getachew-ug@aau.edu.et,Government
Kebede Getachew,UGR/0169/15,Business Administration,5,Male,kebede.getachew-ug@aau.edu.et,Government
Belaynesh Adamu,UGR/0170/15,Civil Engineering,3,Female,belaynesh.adamu-ug@aau.edu.et,Government
Desta Tesfaye,UGR/0171/15,Software Engineering,2,Female,desta.tesfaye-ug@aau.edu.et,Government
Biniam Ashenafi,UGR/0172/15,Civil Engineering,1,Male,biniam.ashenafi-ug@aau.edu.et,Self-Sponsored
Aster Abera,UGR/0173/15,Civil Engineering,1,Female,aster.abera-ug@aau.edu.et,Government
Galaan Tesfaye,UGR/0174/15,Medicine,5,Male,galaan.tesfaye-ug@aau.edu.et,Government
Dawit Asfaw,UGR/0175/15,Software Engineering,3,Male,dawit.asfaw-ug@aau.edu.et,Government
Elias Abiy,UGR/0176/15,Medicine,3,Male,elias.abiy-ug@aau.edu.et,Government
Endelkachew Abdi,UGR/0177/15,Law,3,Male,endelkachew.abdi-ug@aau.edu.et,Self-Sponsored
Aisha Adamu,UGR/0178/15,Electrical Engineering,1,Female,aisha.adamu3-ug@aau.edu.et,Government
Desta Getachew,UGR/0179/15,Medicine,4,Female,desta.getachew-ug@aau.edu.et,Government
Desta Abiy,UGR/0180/15,Information Systems,1,Female,desta.abiy-ug@aau.edu.et,Government
Bezawit Yeshewas,UGR/0181/15,Information Systems,4,Female,bezawit.yeshewas-ug@aau.edu.et,Self-Sponsored
Selamawit Mesfin,UGR/3333/16,Information System,4,Female,selamawit.mesfin-ug@aau.edu.et,Government
